,Player_Name,Height,Weight,Age,Preferred_foot,overall_score,potential_score,Ball_Skills,Defence,Mental,Passing,Physical,Shooting,Goalkeeping,Weekly_Wage,Market_Value
0,Lionel Messi,170,72,33,Left,93,93,96,30.33,73.4,89,79.29,86.88,10.8,560000,103500000
1,Cristiano Ronaldo,187,83,35,Right,92,92,90,28,75.4,81,85.29,87.38,11.6,215000,63000000
2,Jan Oblak,188,87,27,Right,91,93,21,19,44,32,58.43,18.5,87.4,125000,120000000
3,Kevin De Bruyne,181,70,29,Right,91,91,90,62,82.4,93.67,75.86,81.62,11.2,370000,129000000
4,Neymar Jr,175,68,28,Right,91,91,95,31.33,71.6,84.33,78.29,83.62,11.8,270000,132000000
5,Robert Lewandowski,184,80,32,Right,91,91,86.5,32,81,75,80.14,86.75,10.2,240000,111000000
6,Kylian Mbappé,178,73,21,Right,90,95,91,33.33,73.4,77,87,78,8.4,160000,185500000
7,Alisson,191,91,27,Right,90,91,28.5,16.67,40.8,35.33,49.86,23.75,87.8,160000,102000000
8,Mohamed Salah,175,71,28,Left,90,90,89.5,40.67,78.2,79.33,85.43,78.5,12.4,245000,120500000
9,Sadio Mané,175,69,28,Right,90,90,90,40.67,75.8,77.33,87.29,77.75,11.2,245000,120500000
10,Virgil van Dijk,193,92,29,Right,90,91,73.5,90.67,79.8,72.67,77.14,65.12,11.6,210000,113000000
11,Marc-André ter Stegen,187,85,28,Right,90,93,25.5,16,46.4,47.33,53.29,21.25,87.8,260000,110000000
12,Casemiro,185,84,28,Right,89,89,74,86.33,84.2,75.33,76,72.38,13.4,310000,90500000
13,Thibaut Courtois,199,96,28,Left,89,90,18,18,40.2,27.33,52.43,22.25,84,250000,82000000
14,Manuel Neuer,193,92,34,Right,89,89,38,12.67,45.4,43,58.43,25.62,88,125000,17500000
15,Karim Benzema,185,81,32,Right,89,89,88.5,29.67,74.6,78,75.29,83.25,8.2,350000,83500000
16,Sergio Ramos,184,82,34,Right,89,89,74,87.67,86.2,77,76.71,76.38,9.2,300000,33500000
17,Sergio Agüero,173,70,32,Right,89,89,88.5,27.67,73.2,72.33,79.43,82.75,11.8,300000,83500000
18,N'Golo Kanté,168,70,29,Right,88,88,79.5,88,85.8,77.33,81.14,57.88,10.8,190000,78000000
19,Joshua Kimmich,176,73,25,Right,88,90,84,81.67,84.8,88,76.29,69.62,12,145000,103000000
20,Paulo Dybala,177,75,26,Left,88,89,92.5,40,68.6,81.33,79.43,83.38,5.2,190000,109000000
21,Ederson,188,86,27,Left,88,91,31.5,17.33,48.4,45.33,60.43,23.25,87,195000,92000000
22,Raheem Sterling,170,69,25,Right,88,90,89,49,70.2,77,81.57,70.5,12.6,270000,114500000
23,Harry Kane,188,89,27,Right,88,89,82,43.33,78,79.67,74.86,84.88,10.8,220000,109000000
24,Kalidou Koulibaly,187,89,29,Right,88,88,71.5,89,75.2,55.67,73.43,34.88,8.6,140000,76500000
25,Eden Hazard,175,74,29,Right,88,88,92,27.67,71.2,81,79.57,79.38,9,350000,89500000
26,Toni Kroos,183,76,30,Right,88,88,84.5,68.33,78.4,91.33,58.86,79.25,10.2,310000,87500000
27,Samir Handanovič,193,92,36,Right,88,88,17,16,42.2,31.33,55.29,19.38,84.8,100000,10000000
28,Jadon Sancho,180,76,20,Right,87,93,91.5,35,67.4,79.67,76.14,65.5,10.4,80000,124000000
29,Trent Alexander-Arnold,180,69,21,Right,87,92,82,80.33,79.2,89,76.14,71.12,11.2,110000,114000000
30,Bernardo Silva,173,64,26,Left,87,88,92,49.33,75,82.33,75.86,71.38,10.8,230000,95000000
31,Andrew Robertson,178,64,26,Left,87,89,81,82.67,82.2,82.67,77.86,59.25,10,155000,90500000
32,Aymeric Laporte,189,85,26,Left,87,90,70.5,88.67,78.8,73.33,69,57.5,9,200000,92500000
33,Bruno Fernandes,179,69,26,Right,87,90,86.5,64.67,79.8,87.33,77.43,82.88,12.6,195000,105500000
34,Fabinho,188,78,26,Right,87,89,79,86,82.2,81,73,68.75,9.4,155000,88500000
35,Roberto Firmino,181,76,28,Right,87,87,90.5,55.33,79.4,78.67,80.14,77.12,8.8,190000,81500000
36,Heung Min Son,183,78,28,Right,87,87,87.5,39,73.2,78,78.71,80.12,10.6,165000,85000000
37,Antoine Griezmann,176,73,29,Left,87,87,88,54,78.4,83,80,84.75,12.6,290000,79500000
38,Keylor Navas,185,80,33,Right,87,87,17.5,18.67,43.8,26,58.43,19.62,83.6,110000,26000000
39,Ciro Immobile,185,85,30,Right,87,87,83.5,33,77.2,62.67,80.14,79.25,9.4,125000,78000000
40,Sergio Busquets,189,76,32,Right,87,87,84.5,83,84,78,56.86,61,9.6,235000,56000000
41,Pierre-Emerick Aubameyang,187,80,31,Right,87,87,81,30.67,72,72.33,82.29,80.62,9.6,170000,67500000
42,Wojciech Szczęsny,195,90,30,Right,87,87,16.5,15,43.2,26.67,53.86,19.88,83.2,105000,53000000
43,Ángel Di María,180,69,32,Left,87,87,87.5,49.33,73.8,83.67,76.29,78.38,10.2,160000,63000000
44,Luka Modrić,172,66,35,Right,87,87,87.5,71.33,79.8,88.67,74,76.12,10.4,260000,36500000
45,Luis Suárez,182,86,33,Right,87,87,84,46.67,79.2,80,74,86.75,30.6,115000,51000000
46,Hugo Lloris,188,82,33,Left,87,87,22,19,43.6,37.67,57.29,19.62,82.6,125000,26000000
47,Giorgio Chiellini,187,85,36,Left,87,87,60,90.67,74.4,61.33,69.29,53.62,3,95000,21000000
48,Jamie Vardy,179,74,33,Right,86,86,79,53.33,81,61.67,80.71,76.62,12.4,160000,43500000
49,Carvajal,173,73,28,Right,86,86,81,83.67,81.6,80.33,80,56.88,13,230000,61500000
50,Raphaël Varane,191,81,27,Right,86,88,67,87.33,77.6,65.67,75.71,52.38,10,220000,72500000
51,Marco Verratti,165,60,27,Right,86,87,90,81,85.2,84.67,68.29,62.38,12.8,135000,77500000
52,Paul Pogba,191,84,27,Right,86,87,88.5,65,78.2,85.67,77.71,82,4,190000,77500000
53,De Gea,192,82,29,Right,86,86,28,19.67,45.6,38,55.14,23.38,83.6,150000,46500000
54,Thomas Müller,186,75,31,Right,86,86,78.5,50,78.4,82.33,72,76.12,10.4,130000,65500000
55,Jordi Alba,170,68,31,Left,86,86,82.5,78.67,80.4,82.67,82.57,66.88,12,220000,49500000
56,Jordan Henderson,182,80,30,Right,86,86,81,81.33,83,85,73,72.38,9.8,140000,57000000
57,Mats Hummels,191,94,31,Right,86,86,75,88,78.8,77.67,65.57,63.88,8.4,95000,46500000
58,Yann Sommer,183,79,31,Right,86,86,20,13.33,43,28,57.14,19.5,84.6,55000,36000000
59,David Silva,173,67,34,Left,86,86,88.5,46.67,74.2,86.67,65.29,73.25,9.2,60000,32000000
60,Piqué,194,85,33,Right,86,86,71.5,86,81,73,63,61.12,11.6,220000,32500000
61,Alejandro Gómez,167,68,32,Right,86,86,86.5,38,69.8,82,78.14,72.62,9.2,100000,54000000
62,Kai Havertz,188,83,21,Left,85,93,86.5,41,66.6,78.33,79.14,75.62,9.4,105000,121000000
63,Matthijs de Ligt,189,89,21,Right,85,92,71,84.33,75.2,67,75.14,59,11.2,80000,99000000
64,Milan Škriniar,188,80,25,Right,85,89,68,87.33,73.2,60.67,70.29,45.5,11,130000,67000000
65,Rodri,191,82,24,Right,85,88,79,81.67,80.2,76.67,71,64.12,9.8,145000,66500000
66,Marcus Rashford,186,70,22,Right,85,91,86,40,73,75.67,83.57,79.25,10.6,150000,86500000
67,Gianluigi Donnarumma,196,90,21,Right,85,92,28,16.67,43.4,23.33,52.86,19.62,83.6,34000,93500000
68,Frenkie de Jong,180,74,23,Right,85,90,87.5,76.33,80.6,83.67,79.86,65,9.8,190000,81000000
69,Sergej Milinković-Savić,191,76,25,Right,85,89,87,77,80.6,78,75.86,76.5,9.4,95000,74500000
70,Leroy Sané,183,75,24,Left,85,90,86.5,34.33,67.6,76,80.29,79.88,10.4,100000,81500000
71,Clément Lenglet,186,81,25,Left,85,89,66.5,85.67,77.4,69,74.71,50.25,9.6,190000,67000000
72,Timo Werner,180,76,24,Right,85,88,84.5,26,71.4,67.33,81.71,77.62,10,135000,74500000
73,Ricardo Pereira,175,70,26,Right,85,87,82,83,80.2,81,80.14,64.5,13,120000,61000000
74,Hakim Ziyech,181,65,27,Left,85,86,84,46.67,74,87.67,70.14,74.38,10.2,140000,62000000
75,Marquinhos,183,75,26,Right,85,89,71.5,87,79.2,77.33,75.29,47.25,9.4,115000,66000000
76,Serge Gnabry,175,75,25,Right,85,87,85,44,70.2,77.33,77.43,72.62,10,100000,70000000
77,Riyad Mahrez,179,67,29,Left,85,85,90.5,32.67,66.4,79.33,74.86,74.25,10.8,210000,53000000
78,Memphis Depay,176,78,26,Right,85,88,84.5,26.67,69.4,79.33,82.29,79.5,10,115000,71500000
79,Mauro Icardi,181,75,27,Right,85,86,79,29.67,67.8,59,75.14,78.12,8.6,135000,63000000
80,Luis Alberto,183,74,28,Right,85,85,87,57,64.4,85,69.43,72.25,8.6,100000,57500000
81,Lorenzo Insigne,163,59,29,Right,85,85,91.5,33,60.8,81.33,72.43,76,9,120000,53000000
82,Koke,176,77,28,Right,85,85,82,75,82.6,85.67,73.14,71.5,10.8,90000,54000000
83,Bernd Leno,190,82,28,Right,85,87,25.5,20,41.4,35.67,56.71,18.25,83.6,105000,46000000
84,Romelu Lukaku,191,94,27,Left,85,86,78,33.67,70.6,74.33,75.71,78.88,10.8,165000,63000000
85,Alex Sandro,180,80,29,Left,85,85,80.5,81,79.6,78.67,81,68.5,8,120000,47500000
86,Christian Eriksen,181,76,28,Right,85,85,83.5,46,70.8,87.67,70.14,77.88,8.6,155000,54500000
87,Parejo,182,74,31,Right,85,85,84,69.67,77.2,89.33,59.86,81.75,9.6,60000,44000000
88,Thiago,174,70,29,Right,85,85,90.5,68.67,76.6,85.33,68.71,73.88,9.2,150000,52500000
89,Kyle Walker,183,70,30,Right,85,85,79,80.67,77,78.33,85.43,68.38,11.4,170000,46500000
90,Marco Reus,180,71,31,Right,85,85,86,44,71,82,74.71,81.75,12.2,95000,44500000
91,Péter Gulácsi,191,86,30,Right,85,85,22,20.33,39,27.33,49.71,21.25,84.2,65000,36000000
92,Leonardo Bonucci,190,85,33,Right,85,85,72,85.33,76,68.33,66.71,64.5,2.6,110000,26000000
93,Toby Alderweireld,186,81,31,Right,85,85,68.5,87.33,77.8,75,70.14,61.38,13.2,130000,37000000
94,Diego Godín,187,78,34,Right,85,85,63.5,86.67,74.8,67,65.43,54,9.8,55000,17500000
95,Georginio Wijnaldum,175,69,29,Right,85,85,86.5,75.33,81,80.33,80.71,75.25,10.8,150000,52500000
96,Miralem Pjanić,178,72,30,Right,85,85,87.5,74.67,77.2,86,68.57,75.62,8.4,220000,51500000
97,Dries Mertens,169,61,33,Right,85,85,88.5,35,69.4,78.33,73,74.38,7.8,115000,34500000
98,Thiago Silva,183,79,36,Right,85,85,73,85.67,78,73.33,69.71,62.62,9,95000,14500000
99,Erling Haaland,194,88,20,Left,84,92,76.5,37.67,75,56.33,80.29,78.88,10.4,55000,92000000
100,Lautaro Martínez,174,81,23,Right,84,91,85.5,43.67,76.6,69,82.29,75.25,9.6,130000,86500000
101,Arthur,171,73,24,Right,84,89,88,75,80.4,81.67,71.43,68.75,11,100000,63500000
102,Oyarzabal,181,79,23,Left,84,90,84.5,39,64,78.67,76,75.75,10,46000,66500000
103,Wilfred Ndidi,183,74,23,Right,84,88,75,87,82.2,68,77.29,64.38,10.8,95000,55000000
104,André Onana,190,93,24,Right,84,88,32,14.67,40.6,26.67,62.57,25.12,83.8,18000,48000000
105,José María Giménez,185,80,25,Right,84,88,55,87,70.4,59.67,69.57,47.88,10.4,70000,52500000
106,Marcelo Brozović,181,68,27,Right,84,85,83,79.33,78.4,79.67,70.57,73.75,10,125000,43000000
107,Kingsley Coman,179,75,24,Right,84,88,87.5,25.67,60.4,76,81,72.38,4.2,95000,60500000
108,Alex Telles,181,71,27,Left,84,85,82,80,78.8,86.33,80.43,77,11.6,22500,44500000
109,Julian Brandt,185,83,24,Right,84,88,87,53.33,66.4,83.33,77.86,70.88,11,75000,60500000
110,Niklas Süle,195,97,25,Right,84,89,53,86.67,69.2,60.33,63.43,46.25,11.6,85000,57500000
111,Anthony Martial,184,76,24,Right,84,88,88,36.33,68.8,71.67,81.43,76.5,10.2,155000,61000000
112,Nicolás Tagliafico,172,65,28,Left,84,84,75,81.67,80.4,75.67,82.14,56.5,12.6,27000,40500000
113,Grimaldo,171,69,25,Left,84,88,83.5,77.33,78.2,81.33,79.57,69.62,10,19500,56000000
114,Thomas Partey,185,77,27,Right,84,85,83.5,82.33,82.4,81.33,74.71,68.88,9.8,80000,48000000
115,Raphaël Guerreiro,170,71,26,Left,84,85,87.5,76.67,76.4,82.33,69.29,70.75,9,85000,49500000
116,Leon Goretzka,189,76,25,Right,84,88,83.5,76,82.4,79.33,78.86,75.25,11.2,105000,58500000
117,Saúl,184,76,25,Left,84,87,83,77.33,80.8,79,74,75.12,10.2,75000,55500000
118,Felipe,190,83,31,Right,84,84,60,85.33,74.2,62.33,71.43,45.38,10,75000,29000000
119,Raúl Jiménez,188,81,29,Right,84,84,83.5,40.33,76.4,76.33,78.57,78.25,11,140000,42000000
120,Josip Iličić,190,79,32,Left,84,84,88,37,70.6,80.67,64.57,81.38,10.4,90000,34000000
121,Lucas Digne,178,74,27,Left,84,85,80.5,81.67,78.6,80.33,79.71,73,9.2,110000,45500000
122,Wissam Ben Yedder,170,68,30,Right,84,84,87,31,71.8,74,78.43,79.5,8.4,90000,42000000
123,Stefan de Vrij,189,78,28,Right,84,85,69.5,86.67,72.2,64.33,68.86,45.12,10.4,130000,40000000
124,Pizzi,177,72,30,Right,84,84,84,62.67,78.4,82.67,73.14,74,12.4,25000,40500000
125,Isco,176,79,28,Right,84,84,91.5,57.67,70.8,81,67.43,73.5,10.2,210000,42500000
126,David Alaba,180,78,28,Left,84,84,80,83.33,80.6,81.33,77.57,75.5,10,105000,36500000
